latin_species,n
Acanthagenys rufogularis,2
Acanthis cabaret,1
Acanthis cannabina,1
Acanthis flammea,5
Acanthis hornemanni,4
Acanthiza apicalis,2
Acanthiza chrysorrhoa,2
Acanthiza ewingii,2
Acanthiza inornata,2
Acanthiza iredalei,2
Acanthiza katherina,2
Acanthiza lineata,2
Acanthiza nana,2
Acanthiza pusilla,2
Acanthiza reguloides,2
Acanthiza robustirostris,2
Acanthiza uropygialis,2
Acanthorhynchus superciliosus,2
Acanthorhynchus tenuirostris,2
Acanthornis magnus,1
Accipiter bicolor,1
Accipiter brevipes,1
Accipiter cirrhocephalus,2
Accipiter cooperii,3
Accipiter fasciatus,2
Accipiter gentilis,9
Accipiter nisus,9
Accipiter novaehollandiae,2
Accipiter striatus,3
Acridotheres cristatellus,2
Acridotheres tristis,4
Acridotheres tristris,1
Acrocepalus palustris,1
Acrocephalus agricola,2
Acrocephalus arundinaceus,6
Acrocephalus baeticatus,1
Acrocephalus dumetorum,2
Acrocephalus melanopogon,1
Acrocephalus orientalis,1
Acrocephalus paludicola,1
Acrocephalus palustris,3
Acrocephalus schoenobaenus,8
Acrocephalus scirpaceus,7
Acrocephalus stentoreus,2
Acrocephaus scirpaceus,1
Actinodura ramsayi,1
Actinodura souliei,1
Actitis hypoleucos,10
Actitis macularia,1
Actitis macularius,4
Aechmolophus mexicanus,1
Aechmophorus clarkii,3
Aechmophorus occidentalis,3
Aegithalos caudatus,10
Aegithalos concinnus,1
Aegolius acadicus,3
Aegolius funereus,6
Aegolius ridgwayi,1
Aegotheles cristatus,2
Aegypius monachus,1
Aerodramus spodiopygia,1
Aerodramus spodiopygius,1
Aerodramus vanikorensis,1
Aeronautes saxatalis,3
Aethia cristatella,2
Aethia psittacula,3
Aethia pusilla,2
Aethia pygmaea,2
Aethopyga ignicauda,1
Agamia agami,1
Agapornis roseicollis,1
Agelaius phoeniceus,3
Agelaius tricolor,3
Agriocharis ocellata,1
Ailuroedus crassirostris,2
Ailuroedus melanotis,2
Aimophila botterii,1
Aimophila carpalis,1
Aimophila humeralis,1
Aimophila mystacalis,1
Aimophila quinquestriata,1
Aimophila rufescens,1
Aimophila ruficauda,1
Aimophila ruficeps,4
