latin_species,order,family,family_english,english,subspecies
NA,NA,NA,RATITES,NA,NA
NA,Struthioniformes,NA,RATITES,NA,NA
NA,Struthioniformes,Struthionidae,Ostriches,NA,NA
NA,Struthioniformes,Struthionidae,Ostriches,NA,NA
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,NA
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,syriacus †
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,camelus
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,massaicus
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,australis
Struthio molybdophanes,Struthioniformes,Struthionidae,Ostriches,Somali Ostrich,australis
Struthio molybdophanes,Rheiformes,Struthionidae,Ostriches,Somali Ostrich,australis
Struthio molybdophanes,Rheiformes,Rheidae,Rheas,Somali Ostrich,australis
Rhea molybdophanes,Rheiformes,Rheidae,Rheas,Somali Ostrich,australis
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,australis
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,americana
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,intermedia
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,nobilis
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,araneipes
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,albescens
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,albescens
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,garleppi
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,tarapacensis
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,pennata
Rhea pennata,Apterygiformes,Rheidae,Rheas,Lesser Rhea,pennata
Rhea pennata,Apterygiformes,Apterygidae,Kiwis,Lesser Rhea,pennata
Apteryx pennata,Apterygiformes,Apterygidae,Kiwis,Lesser Rhea,pennata
Apteryx australis,Apterygiformes,Apterygidae,Kiwis,Southern Brown Kiwi,pennata
Apteryx australis,Apterygiformes,Apterygidae,Kiwis,Southern Brown Kiwi,australis
Apteryx australis,Apterygiformes,Apterygidae,Kiwis,Southern Brown Kiwi,lawryi
Apteryx mantelli,Apterygiformes,Apterygidae,Kiwis,North Island Brown Kiwi,lawryi
Apteryx rowi,Apterygiformes,Apterygidae,Kiwis,Okarito Kiwi,lawryi
Apteryx owenii,Apterygiformes,Apterygidae,Kiwis,Little Spotted Kiwi,lawryi
Apteryx haastii,Apterygiformes,Apterygidae,Kiwis,Great Spotted Kiwi,lawryi
Apteryx haastii,Casuariiformes,Apterygidae,Kiwis,Great Spotted Kiwi,lawryi
Apteryx haastii,Casuariiformes,Casuariidae,"Cassowaries, Emu",Great Spotted Kiwi,lawryi
Casuarius haastii,Casuariiformes,Casuariidae,"Cassowaries, Emu",Great Spotted Kiwi,lawryi
Casuarius casuarius,Casuariiformes,Casuariidae,"Cassowaries, Emu",Southern Cassowary,lawryi
Casuarius bennetti,Casuariiformes,Casuariidae,"Cassowaries, Emu",Dwarf Cassowary,lawryi
Casuarius bennetti,Casuariiformes,Casuariidae,"Cassowaries, Emu",Dwarf Cassowary,westermanni
Casuarius bennetti,Casuariiformes,Casuariidae,"Cassowaries, Emu",Dwarf Cassowary,bennetti
Casuarius unappendiculatus,Casuariiformes,Casuariidae,"Cassowaries, Emu",Northern Cassowary,bennetti
Dromaius unappendiculatus,Casuariiformes,Casuariidae,"Cassowaries, Emu",Northern Cassowary,bennetti
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,bennetti
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,novaehollandiae
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,diemenensis †
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,minor †
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,baudinianus †
Dromaius novaehollandiae,Tinamiformes,Casuariidae,"Cassowaries, Emu",Emu,baudinianus †
Dromaius novaehollandiae,Tinamiformes,Tinamidae,Tinamous,Emu,baudinianus †
Tinamus novaehollandiae,Tinamiformes,Tinamidae,Tinamous,Emu,baudinianus †
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,baudinianus †
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,larensis
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,septentrionalis
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,tao
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,kleei
Tinamus solitarius,Tinamiformes,Tinamidae,Tinamous,Solitary Tinamou,kleei
Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamous,Black Tinamou,kleei
Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamous,Black Tinamou,hershkovitzi
Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamous,Black Tinamou,osgoodi
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,osgoodi
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,robustus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,percautus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,fuscipennis
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,brunneiventris
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,castaneiceps
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,saturatus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,zuliensis
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,latifrons
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,major
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,serratus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,olivascens
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,peruvianus
Tinamus guttatus,Tinamiformes,Tinamidae,Tinamous,White-throated Tinamou,peruvianus
Nothocercus guttatus,Tinamiformes,Tinamidae,Tinamous,White-throated Tinamou,peruvianus
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,peruvianus
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,frantzii
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,bonapartei
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,intercedens
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,discrepans
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,plumbeiceps
Nothocercus julius,Tinamiformes,Tinamidae,Tinamous,Tawny-breasted Tinamou,plumbeiceps
Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,plumbeiceps
Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,cadwaladeri
Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,nigrocapillus
Crypturellus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,nigrocapillus
Crypturellus berlepschi,Tinamiformes,Tinamidae,Tinamous,Berlepsch's Tinamou,nigrocapillus
Crypturellus cinereus,Tinamiformes,Tinamidae,Tinamous,Cinereous Tinamou,nigrocapillus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,nigrocapillus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,meserythrus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,modestus
