Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes,,
4,Anatidae,Greater White-fronted Goose,Anser albifrons,28,"Common honk a distinctive quick, high-pitched laughing or yelping of two or three rising syllables ""ho-leeleek"" or ""kilik"". Flock noise higher, clearer, with more rapid syllables than other geese; feeding flock gives low, buzzing chorus.",,,
5,Anatidae,Pink-footed Goose,Anser brachyrhynchus,28,"A high, two-syllabled honk ""HEE-lerk"", very similar to Greater White-fronted but slightly lower and harsher. Also higher short squeaking notes.",,,
5,Anatidae,Graylag Goose,Anser anser,32.5,"Very loud, raucous braying or honking, the familiar barnyard goose sound.",,,
5,Anatidae,Tundra Bean-Goose,Anser serrirostris,NA,Very similar to Greater White-fronted Goose but slightly lower-pitched.,,,
5,Anatidae,Taiga Bean-Goose,Anser fabalis,NA,Very similar to Greater White-fronted Goose but slightly lower-pitched.,,,
6,Anatidae,Cackling Goose,Branta hutchinsii,25,"Calls of Pacific and Aleutian forms distinctive, high-pitched squeaking or yelping ""yeek"" or ""uriik"", higher and sharper than Canada Goose. Richardson's gives honking call similar to Canada Goose but on average slightly higher-pitched.",,,
6,Anatidae,Canada Goose,Branta canadensis,45,"Familiar call a loud, resonant, and musical honk ""h-ronk"" and ""h-lenk""; flock chorus gentle, slow-paced, mellow; no harsh or sharp notes. Other soft, grunting calls. Voice very similar in all populations.",,,
7,Anatidae,Brant,Branta bernicla,25,"A soft, gargling ""rrot"" or ""cronk"" and a hard ""cut-cut"" in flight. Flock chorus a constant, low, murmuring, gargling sound with little variation. All populations identical.",,,
8,Anatidae,Barnacle Goose,Branta leucopsis,27,"Hoarse, monosyllabic bark ""henk""; generally higher than Snow Goose; sometimes rapidly repeated and resembling shrill yapping of small dog. Wings produce creaking noise.",,,
8,Anatidae,Emperor Goose,Chen canagica,26,"High-pitched, rapid, triple- or double-note tinny ""honk kla-ha"" like Snow Goose; also high, clear, trumpeting ""tedidi"". Low grunting from ground.",,,
9,Anatidae,Snow Goose,Chen caerulescens,28-31,"Common call a harsh, monosyllabic, descending ""whouk"" or higher ""heenk""; harsher and more raucous than other geese, recalling Great Blue Heron. Flock chorus slow-paced with single honks on varied pitches; whole pitch range greater than other geese. Also lower, grunting ""hu-hu-hur"" from foraging birds.",,,
11,Anatidae,Ross's Goose,Chen rossii,23,"Generally quiet, less vocal than Snow, flock sounds over-all higher-pitched and more rapid than Snow Goose; calls a high sharp ""keek"" or squealing ""keek-keek"", analogous to ""heenk"" of Snow Goose, and a grunting low ""kowk"".",,,
12,Anatidae,Mute Swan,Cygnus olor,60,"Not mute; gives a variety of calls. In aggression an explosive, exhaling ""kheorrrr"" with rumbling end; sometimes a clear, bugling ""kloorrr"" reminiscent of Tundra Swan, also hissing and snorting. Immature gives higher gurgling note. Wings produce loud, resonant, throbbing hum in flight, unlike other swans.",,,
12,Anatidae,Trumpeter Swan,Cygnus buccinator,60,"Less vocal and voice much lower-pitched than Tundra Swan. Gentle nasal honking, slightly hoarse ""hurp"" or ""hur di di"", like the honk of a European taxi; lower-pitched and less urgent than Canada Goose. Immature gives higher-pitched toy-trumpet-like calls, changing to hoarse version of adult calls during 1st winter.",,,
13,Anatidae,Tundra Swan,Cygnus columbianus,49,"A melancholy, clear, singing ""kloo"" or ""kwoo"" with hooting or barking quality. Distant flock sounds like baying hounds, rather goose-like, resting flock gives gentle, musical murmuring. Immature calls wheezier, becoming adultlike by 2nd year.",,,
13,Anatidae,Whooper Swan,Cygnus cygnus,59,NA,,,
14,Anatidae,Black-bellied Whistling-Duck,Dendrocygna autumnalis,21,"Wheezy but sharp whistle, softer and more musical than Fulvous and typically five or six syllables ""pit pit pit WEEE do deew"".  Also high, weak ""yip"" singly or in series when flushed.",,,
14,Anatidae,Fulvous Whistling-Duck,Dendrocygna bicolor,19,"A thin, squeaky whistle ""pi-piTEEEEW"" or ""pitheeew"". Alo soft, conversational ""cup-cup-cup"". Male calls distinctly higher pitched than female.",,,
15,Anatidae,Muscovy Duck,Cairina moschata,female 25; male 31,"Generally quiet. Female gives a soft quack. Male gives rhythmic puffs in display or when alarmed, also hisses.",,,
