fieldguide,english_common,latin_species,length,voice,order,family,family_english,english,match,latin_species_correct,changed,comment
allabout_birds,Abert's Towhee,Melozone aberti,22.15,"Pairs frequently deliver a 'squeal duet,' a rapid jumble of scratchy notes, and this can be a good way to locate the species. They also make a high-pitched, distinctive, ringing  "" seep "" or  "" peep "" call. Males occasionally sing a very simple series of sweet, ringing, staccato  "" peep "" call notes on the same pitch, usually introduced with a lower-pitched note.",Passeriformes,Passerellidae,New World Sparrows,Abert's Towhee,TRUE,Melozone aberti,no,
allabout_birds,Acadian Flycatcher,Empidonax virescens,14.5,"Typical calls include a sharp  "" pwit  "" and a series of slowly trilled twittered notes. Acadian Flycatchers sing a short, explosive  "" tee-chup  "" or  "" ker-chip  "" frequently throughout the breeding season, particularly in the morning. They also sing a 'dawn song' consisting of the territorial song interspersed with metallic  "" seet  "" notes given very rapidly. In addition they sing an 'evening song,' often in flight, consisting of a series of  "" pseet  "" calls followed by slurred chirps. These build to a climax, at which point the male flies above the canopy while continuing to sing.",Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura",Acadian Flycatcher,TRUE,Empidonax virescens,no,
allabout_birds,Acorn Woodpecker,Melanerpes formicivorus,21,"Their most common call is a loud, squeaky  "" waka-waka-waka "" , used for greeting family members, disputing territory boundaries, and squabbling in groups. They also give noisy trills, harsh repeated notes, chatters, and other calls.",Piciformes,Picidae,Woodpeckers,Acorn Woodpecker,TRUE,Melanerpes formicivorus,no,
allabout_birds,African Collared-Dove,Streptopelia roseogrisea,26.5,"Song is a mellow  "" koo, kooroo. ""  Call a high-pitched  "" heh-heh-heh. """,Columbiformes,Columbidae,"Pigeons, Doves",African Collared Dove,TRUE,Streptopelia roseogrisea,no,
allabout_birds,Alder Flycatcher,Empidonax alnorum,15,"The primary contact call is a low, flat  "" pip. "" Males sing a burry  "" rreeee-BEEP  "" or  "" free-beer! "" , reminiscent of but thinner than an Eastern Phoebe's song.",Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura",Alder Flycatcher,TRUE,Empidonax alnorum,no,
allabout_birds,Allen's Hummingbird,Selasphorus sasin,9,"Males and females frequently give a sharp tick while feeding. If another hummingbird tries to intrude on a male's territory, he gives a quick 3-parted tinkling buzz from his perch. Females make the same sound in response to a displaying male.",Apodiformes,Trochilidae,Hummingbirds,Allen's Hummingbird,TRUE,Selasphorus sasin,no,
allabout_birds,Altamira Oriole,Icterus gularis,23,"A clipped  "" ike  "" is the most commonly heard call, likely used as a contact call. Harsh chattering calls are also common. Both adults also give a sweet, two-note whistle when approaching young with food. Males sing a pleasant-sounding series of whistled phrases, some rising, others falling in tone, with regular pauses between the phrases, and occasional harsh chattering interspersed.",Passeriformes,Icteridae,"Oropendolas, Orioles, Blackbirds",Altamira Oriole,TRUE,Icterus gularis,no,
allabout_birds,American Avocet,Recurvirostra americana,45,"The call of male and female American Avocets is a repeated, high-pitched  "" kleet "" . They are generally silent, calling only when disturbed.",Charadriiformes,Recurvirostridae,"Stilts, Avocets",American Avocet,TRUE,Recurvirostra americana,no,
allabout_birds,American Bittern,Botaurus lentiginosus,72.5,"When flushed, American Bitterns often emit a hoarse  "" kok-kok-kok "" or nasal  "" haink "" . Males may give a continual  "" chu-peep "" call during mating. To communicate with each other through dense vegetation American Bitterns use low-frequency calls, which carry farther than higher-pitched sounds. During breeding season the males make a bizarre, resonant three-syllable  "" pump-er-lunk "" call with a liquid quality; females may respond with a similar but quieter sound. The male's call is preceded by clacking and gulping. To accomplish the  "" pump-er-lunk "" sound, the male inflates his esophagus by way of almost violent body contortions—opening and closing his bill as if lunging for flying insects—and then uses the stored air to unleash his call. Repeated up to 10 times in succession, the call probably serves as both a territorial signal and an advertisement for mates.",Pelecaniformes,Ardeidae,"Herons, Bitterns",American Bittern,TRUE,Botaurus lentiginosus,no,
allabout_birds,American Black Duck,Anas rubripes,56.5,"American Black Duck females give loud quacks, along with a six-syllable call that falls in pitch, with an accent on the second syllable. Males have raspy, reedy calls and they give a flutelike whistle during courtship.",Anseriformes,Anatidae,"Ducks, Geese, Swans",American Black Duck,TRUE,Anas rubripes,no,
